frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
147,0.0,268,385,0.0,839.7736,304,409,20.9424,700.5236
148,0.0166,269,388,2.6178,831.9202,304,411,20.9424,695.288
149,0.0333,268,392,0.0,821.449,304,416,20.9424,682.199
150,0.05,268,395,0.0,813.5955,305,419,23.5602,674.3455
151,0.0667,269,399,2.6178,803.1243,305,423,23.5602,663.8743
152,0.0834,269,402,2.6178,795.2709,305,427,23.5602,653.4031
153,0.1001,269,406,2.6178,784.7997,305,430,23.5602,645.5497
154,0.1167,269,410,2.6178,774.3285,305,434,23.5602,635.0785
155,0.1334,270,414,5.2356,763.8573,305,438,23.5602,624.6073
156,0.1501,270,418,5.2356,753.3861,305,443,23.5602,611.5183
157,0.1668,269,423,2.6178,740.2971,305,447,23.5602,601.0471
158,0.1835,269,427,2.6178,729.8259,305,451,23.5602,590.5759
159,0.2001,269,432,2.6178,716.7369,306,456,26.178,577.4869
160,0.2168,270,437,5.2356,703.6479,307,461,28.7958,564.3979
161,0.2335,270,442,5.2356,690.5589,306,465,26.178,553.9267
162,0.2502,270,446,5.2356,680.0877,306,471,26.178,538.2199
163,0.2669,270,452,5.2356,664.3809,306,475,26.178,527.7487
164,0.2836,270,457,5.2356,651.2919,306,480,26.178,514.6597
165,0.3003,270,462,5.2356,638.2029,307,486,28.7958,498.9529
166,0.3169,270,467,5.2356,625.1139,307,491,28.7958,485.8639
167,0.3336,271,473,7.8534,609.4071,307,497,28.7958,470.1571
168,0.3503,271,479,7.8534,593.7003,306,503,26.178,454.4503
169,0.367,270,485,5.2356,577.9935,306,509,26.178,438.7435
170,0.3837,270,490,5.2356,564.9045,306,514,26.178,425.6545
171,0.4004,270,496,5.2356,549.1976,307,520,28.7958,409.9476
172,0.417,270,502,5.2356,533.4908,307,526,28.7958,394.2408
173,0.4337,270,508,5.2356,517.784,307,532,28.7958,378.534
174,0.4504,270,515,5.2356,499.4594,308,539,31.4136,360.2094
175,0.4671,271,521,7.8534,483.7526,307,545,28.7958,344.5026
176,0.4838,271,528,7.8534,465.428,308,552,31.4136,326.178
177,0.5004,271,535,7.8534,447.1034,308,559,31.4136,307.8534
178,0.5171,271,542,7.8534,428.7788,308,564,31.4136,294.7644
179,0.5338,270,549,5.2356,410.4542,308,572,31.4136,273.822
180,0.5505,270,556,5.2356,392.1296,308,579,31.4136,255.4974
181,0.5672,270,563,5.2356,373.805,309,586,34.0314,237.1728
182,0.5839,271,570,7.8534,355.4804,309,593,34.0314,218.8482
183,0.6006,270,578,5.2356,334.538,308,601,31.4136,197.9058
184,0.6172,270,585,5.2356,316.2134,308,608,31.4136,179.5812
185,0.6339,270,593,5.2356,295.2709,308,616,31.4136,158.6387
186,0.6506,270,601,5.2356,274.3285,308,623,31.4136,140.3141
187,0.6673,270,609,5.2356,253.3861,308,631,31.4136,119.3717
188,0.684,270,616,5.2356,235.0615,308,639,31.4136,98.4293
189,0.7007,270,625,5.2356,211.5013,309,646,34.0314,80.1047
190,0.7173,271,632,7.8534,193.1767,309,654,34.0314,59.1623
191,0.734,270,631,5.2356,195.7945,309,651,34.0314,67.0157
192,0.7507,270,624,5.2356,214.1191,309,647,34.0314,77.4869
193,0.7674,269,617,2.6178,232.4437,309,641,34.0314,93.1937
194,0.7841,270,609,5.2356,253.3861,309,636,34.0314,106.2827
195,0.8007,269,602,2.6178,271.7107,309,631,34.0314,119.3717
196,0.8174,268,595,0.0,290.0353,309,625,34.0314,135.0785
197,0.8341,269,588,2.6178,308.3599,309,619,34.0314,150.7853
198,0.8508,268,581,0.0,326.6846,310,614,36.6492,163.8743
199,0.8675,268,574,0.0,345.0092,310,609,36.6492,176.9634
200,0.8842,268,567,0.0,363.3338,310,606,36.6492,184.8168
201,0.9009,268,560,0.0,381.6584,309,601,34.0314,197.9058
202,0.9175,268,554,0.0,397.3652,310,597,36.6492,208.377
203,0.9342,268,548,0.0,413.072,310,593,36.6492,218.8482
204,0.9509,267,542,-2.6178,428.7788,310,589,36.6492,229.3194
205,0.9676,267,535,-2.6178,447.1034,310,584,36.6492,242.4084
206,0.9843,266,529,-5.2356,462.8102,311,581,39.267,250.2618
207,1.001,266,523,-5.2356,478.517,310,576,36.6492,263.3508
208,1.0176,266,517,-5.2356,494.2238,311,574,39.267,268.5864
209,1.0343,266,512,-5.2356,507.3128,311,570,39.267,279.0576
210,1.051,265,507,-7.8534,520.4018,311,567,39.267,286.911
211,1.0677,265,501,-7.8534,536.1086,311,563,39.267,297.3822
212,1.0844,265,496,-7.8534,549.1976,312,559,41.8848,307.8534
213,1.101,264,491,-10.4712,562.2866,312,557,41.8848,313.089
214,1.1177,264,486,-10.4712,575.3757,311,554,39.267,320.9424
215,1.1344,264,481,-10.4712,588.4647,312,551,41.8848,328.7958
216,1.1511,264,476,-10.4712,601.5537,310,549,36.6492,334.0314
217,1.1678,263,471,-13.089,614.6427,312,547,41.8848,339.267
218,1.1845,263,467,-13.089,625.1139,312,544,41.8848,347.1204
219,1.2012,263,462,-13.089,638.2029,312,542,41.8848,352.356
220,1.2178,262,458,-15.7068,648.6741,311,540,39.267,357.5916
221,1.2345,262,454,-15.7068,659.1453,312,537,41.8848,365.445
222,1.2512,262,449,-15.7068,672.2343,312,536,41.8848,368.0628
223,1.2679,262,445,-15.7068,682.7055,312,535,41.8848,370.6806
224,1.2846,261,441,-18.3246,693.1767,312,532,41.8848,378.534
225,1.3013,261,438,-18.3246,701.0301,312,531,41.8848,381.1518
226,1.3179,260,434,-20.9424,711.5013,312,529,41.8848,386.3874
227,1.3346,260,431,-20.9424,719.3547,312,527,41.8848,391.623
228,1.3513,260,427,-20.9424,729.8259,312,527,41.8848,391.623
229,1.368,259,424,-23.5602,737.6793,312,524,41.8848,399.4764
230,1.3847,259,421,-23.5602,745.5327,311,525,39.267,396.8586
231,1.4013,259,418,-23.5602,753.3861,312,524,41.8848,399.4764
232,1.418,259,415,-23.5602,761.2395,311,524,39.267,399.4764
233,1.4347,258,412,-26.178,769.0929,312,523,41.8848,402.0942
234,1.4514,258,410,-26.178,774.3285,312,522,41.8848,404.712
235,1.4681,258,407,-26.178,782.1819,311,522,39.267,404.712
236,1.4848,258,405,-26.178,787.4175,311,522,39.267,404.712
237,1.5014,257,403,-28.7958,792.6531,311,522,39.267,404.712
238,1.5181,257,400,-28.7958,800.5065,312,522,41.8848,404.712
239,1.5348,256,398,-31.4136,805.7421,312,522,41.8848,404.712
240,1.5515,256,396,-31.4136,810.9777,312,522,41.8848,404.712
241,1.5682,254,395,-36.6492,813.5955,311,522,39.267,404.712
242,1.5849,255,393,-34.0314,818.8312,312,523,41.8848,402.0942
243,1.6016,255,392,-34.0314,821.449,312,523,41.8848,402.0942
244,1.6182,255,390,-34.0314,826.6846,313,525,44.5026,396.8586
245,1.6349,254,389,-36.6492,829.3024,313,523,44.5026,402.0942
246,1.6516,254,388,-36.6492,831.9202,312,524,41.8848,399.4764
247,1.6683,254,387,-36.6492,834.538,313,527,44.5026,391.623
248,1.685,253,386,-39.267,837.1558,312,527,41.8848,391.623
249,1.7017,253,385,-39.267,839.7736,312,529,41.8848,386.3874
250,1.7183,253,385,-39.267,839.7736,312,530,41.8848,383.7696
251,1.735,252,384,-41.8848,842.3914,312,532,41.8848,378.534
252,1.7517,252,384,-41.8848,842.3914,314,533,47.1204,375.9162
253,1.7684,252,384,-41.8848,842.3914,315,536,49.7382,368.0628
254,1.7851,252,384,-41.8848,842.3914,312,538,41.8848,362.8272
255,1.8017,252,384,-41.8848,842.3914,313,541,44.5026,354.9738
256,1.8184,251,385,-44.5026,839.7736,315,543,49.7382,349.7382
257,1.8351,251,385,-44.5026,839.7736,315,545,49.7382,344.5026
258,1.8518,251,385,-44.5026,839.7736,311,548,39.267,336.6492
259,1.8685,249,386,-49.7382,837.1558,311,550,39.267,331.4136
260,1.8852,250,387,-47.1204,834.538,315,553,49.7382,323.5602
261,1.9019,249,388,-49.7382,831.9202,311,555,39.267,318.3246
262,1.9185,249,389,-49.7382,829.3024,312,559,41.8848,307.8534
263,1.9352,249,390,-49.7382,826.6846,312,561,41.8848,302.6178
264,1.9519,248,391,-52.356,824.0668,312,564,41.8848,294.7644
265,1.9686,249,393,-49.7382,818.8312,311,566,39.267,289.5288
266,1.9853,248,394,-52.356,816.2134,317,571,54.9738,276.4398
267,2.002,248,396,-52.356,810.9777,314,575,47.1204,265.9686
268,2.0186,248,398,-52.356,805.7421,311,578,39.267,258.1152
269,2.0353,247,400,-54.9738,800.5065,318,582,57.5916,247.644
270,2.052,247,402,-54.9738,795.2709,311,587,39.267,234.555
271,2.0687,247,404,-54.9738,790.0353,313,589,44.5026,229.3194
272,2.0854,246,407,-57.5916,782.1819,310,594,36.6492,216.2304
273,2.102,246,410,-57.5916,774.3285,311,599,39.267,203.1414
274,2.1187,246,412,-57.5916,769.0929,313,603,44.5026,192.6702
275,2.1354,246,415,-57.5916,761.2395,310,607,36.6492,182.199
276,2.1521,245,418,-60.2094,753.3861,310,612,36.6492,169.1099
277,2.1688,245,421,-60.2094,745.5327,311,617,39.267,156.0209
278,2.1855,245,424,-60.2094,737.6793,311,622,39.267,142.9319
279,2.2022,244,428,-62.8272,727.2081,311,626,39.267,132.4607
280,2.2188,244,431,-62.8272,719.3547,310,632,36.6492,116.7539
281,2.2355,243,435,-65.445,708.8835,319,637,60.2094,103.6649
282,2.2522,243,439,-65.445,698.4123,318,642,57.5916,90.5759
283,2.2689,243,443,-65.445,687.9411,308,648,31.4136,74.8691
284,2.2856,242,447,-68.0628,677.4699,309,653,34.0314,61.7801
285,2.3023,242,451,-68.0628,666.9987,318,655,57.5916,56.5445
286,2.3189,242,456,-68.0628,653.9097,317,649,54.9738,72.2513
287,2.3356,241,460,-70.6806,643.4385,317,645,54.9738,82.7225
288,2.3523,241,465,-70.6806,630.3495,313,644,44.5026,85.3403
289,2.369,241,470,-70.6806,617.2605,314,637,47.1204,103.6649
290,2.3857,240,475,-73.2984,604.1715,316,634,52.356,111.5183
291,2.4023,240,480,-73.2984,591.0825,322,631,68.0628,119.3717
292,2.419,239,485,-75.9162,577.9935,318,627,57.5916,129.8429
293,2.4357,239,491,-75.9162,562.2866,317,627,54.9738,129.8429
294,2.4524,238,496,-78.534,549.1976,317,624,54.9738,137.6963
295,2.4691,238,502,-78.534,533.4908,322,621,68.0628,145.5497
296,2.4858,238,507,-78.534,520.4018,322,615,68.0628,161.2565
297,2.5025,237,513,-81.1518,504.695,319,613,60.2094,166.4921
298,2.5191,237,520,-81.1518,486.3704,314,613,47.1204,166.4921
299,2.5358,236,526,-83.7696,470.6636,315,608,49.7382,179.5812
300,2.5525,236,532,-83.7696,454.9568,323,607,70.6806,182.199
301,2.5692,236,539,-83.7696,436.6322,322,605,68.0628,187.4346
302,2.5859,235,545,-86.3874,420.9254,323,603,70.6806,192.6702
303,2.6026,235,552,-86.3874,402.6008,323,601,70.6806,197.9058
304,2.6192,234,559,-89.0052,384.2762,313,597,44.5026,208.377
305,2.6359,233,567,-91.623,363.3338,321,599,65.445,203.1414
306,2.6526,234,574,-89.0052,345.0092,313,599,44.5026,203.1414
307,2.6693,233,582,-91.623,324.0668,321,593,65.445,218.8482
308,2.686,233,589,-91.623,305.7421,322,591,68.0628,224.0838
309,2.7026,233,597,-91.623,284.7997,320,590,62.8272,226.7016
310,2.7193,232,605,-94.2408,263.8573,316,594,52.356,216.2304
311,2.736,232,613,-94.2408,242.9149,316,593,52.356,218.8482
