timestamp_s,red_relative_Y_mm,white_relative_Y_mm,red_velocity_mm_s,white_velocity_mm_s
0.0,1187.4175,1050.7853,,
0.0167,1176.9463,1040.3141,-627.018,-705.3952
0.0333,1166.4751,1027.2251,-630.7952,-709.6446
0.05,1156.0039,1016.7539,-705.3952,-627.018
0.0667,1142.9149,1006.2827,-705.3952,-627.018
0.0834,1132.4437,995.8115,-627.018,-627.018
0.1001,1121.9725,985.3403,-705.3952,-705.3952
0.1168,1108.8835,972.2513,-783.7725,-783.7725
0.1334,1095.7945,959.1623,-788.494,-788.494
0.1501,1082.7055,946.0733,-783.7725,-862.1497
0.1668,1069.6165,930.3665,-783.7725,-783.7725
0.1835,1056.5275,919.8953,-783.7725,-783.7725
0.2002,1043.4385,904.1885,-783.7725,-862.1497
0.2168,1030.3495,891.0995,-867.3434,-788.494
0.2335,1014.6427,878.0105,-940.5269,-862.1497
0.2502,998.9359,862.3037,-862.1497,-940.5269
0.2669,985.8469,846.5969,-862.1497,-940.5269
0.2836,970.1401,830.8901,-1018.9072,-940.5299
0.3003,951.8154,815.1832,-1018.9072,-940.5299
0.317,936.1086,799.4764,-940.5269,-940.5269
0.3336,920.4018,783.7696,-946.1928,-946.1928
0.3503,904.695,768.0628,-1018.9042,-1097.2814
0.367,886.3704,747.1204,-1018.9042,-1097.2814
0.3837,870.6636,731.4136,-1018.9042,-940.5269
0.4004,852.339,715.7068,-1097.2814,-1018.9042
0.4171,834.0144,697.3822,-1097.2814,-1097.2814
0.4337,815.6898,679.0576,-1103.8916,-1103.8916
0.4504,797.3652,660.733,-1097.2814,-1175.6587
0.4671,779.0406,639.7906,-1175.6587,-1175.6587
0.4838,758.0982,621.466,-1175.6587,-1175.6587
0.5005,739.7736,600.5236,-1175.6587,-1254.0359
0.5171,718.8312,579.5812,-1182.744,-1103.8946
0.5338,700.5065,563.8743,-1175.6617,-1175.6617
0.5505,679.5641,540.3141,-1254.0359,-1254.0359
0.5672,658.6217,521.9895,-1254.0359,-1254.0359
0.5839,637.6793,498.4293,-1332.4132,-1332.4132
0.6006,614.1191,477.4869,-1332.4132,-1254.0359
0.6173,593.1767,456.5445,-1254.0359,-1332.4132
0.6339,572.2343,432.9843,-1340.4398,-1340.4398
0.6506,548.6741,412.0419,-1410.7904,-1332.4132
0.6673,525.1139,388.4817,-1332.4132,-1410.7904
0.684,504.1715,364.9215,-1410.7904,-1410.7904
0.7007,477.9935,341.3613,-1489.1707,-1410.7934
0.7174,454.4332,317.801,-1410.7934,-1489.1707
0.734,430.873,291.623,-1419.2892,-1419.2892
0.7507,407.3128,270.6806,-1489.1677,-1410.7904
0.7674,381.1348,244.5026,-1489.1677,-1567.5449
0.7841,357.5746,218.3246,-1489.1677,-1567.5449
0.8008,331.3966,192.1466,-1567.5449,-1489.1677
0.8174,305.2186,168.5864,-1576.988,-1498.1386
0.8341,279.0406,142.4084,-1567.5449,-1645.9222
0.8508,252.8626,113.6126,-1567.5449,-1567.5449
0.8675,226.6846,90.0524,-1567.5479,-1567.5479
0.8842,200.5065,61.2565,-1645.9251,-1645.9251
0.9009,171.7107,35.0785,-1645.9222,-1567.5449
0.9176,145.5327,8.9005,-940.5269,-940.5269
0.9342,140.2971,3.6649,630.7952,630.7952
0.9509,166.4751,29.8429,1724.2994,1332.4132
0.9676,197.8887,48.1675,1802.6796,1254.0359
0.9843,226.6846,71.7277,1724.3024,1175.6617
1.001,255.4804,87.4346,1645.9222,862.1527
1.0177,281.6584,100.5236,1645.9222,1018.9042
1.0343,310.4542,121.466,1734.6867,1182.741
1.051,339.25,139.7906,1645.9222,862.1497
1.0677,365.428,150.2618,1567.5449,783.7725
1.0844,391.606,165.9686,1645.9222,862.1497
1.1011,420.4018,179.0576,1567.5449,862.1497
1.1177,443.962,194.7644,1498.1416,946.1928
1.1344,470.1401,210.4712,1567.5479,862.1497
1.1511,496.3181,223.5602,1489.1677,862.1497
1.1678,519.8783,239.267,1489.1677,783.7725
1.1845,546.0563,249.7382,1489.1677,862.1497
1.2012,569.6165,268.0628,1410.7904,940.5269
1.2179,593.1767,281.1518,1410.7904,783.7725
1.2345,616.7369,294.2408,1419.2892,630.7952
1.2512,640.2971,302.0942,1332.4132,627.018
1.2679,661.2395,315.1832,1332.4132,783.7754
1.2846,684.7997,328.2723,1410.7904,705.3982
