frame_no,timestamp_s,red_absolute_x_px,red_absolute_y_px,red_relative_X_mm,red_relative_Y_mm,white_absolute_X_px,white_absolute_Y_px,white_relative_X_mm,white_relative_Y_mm
0,0.0,269,414,0.0,1039.25,298,439,0.0,900.0
1,0.0167,269,414,0.0,1039.25,299,439,2.6178,900.0
2,0.0334,269,414,0.0,1039.25,298,440,0.0,897.3822
3,0.0501,269,414,0.0,1039.25,298,440,0.0,897.3822
4,0.0667,269,414,0.0,1039.25,298,439,0.0,900.0
5,0.0834,269,415,0.0,1036.6322,299,440,2.6178,897.3822
6,0.1001,269,414,0.0,1039.25,299,440,2.6178,897.3822
7,0.1168,269,414,0.0,1039.25,298,439,0.0,900.0
8,0.1335,269,415,0.0,1036.6322,298,439,0.0,900.0
9,0.1502,269,415,0.0,1036.6322,298,440,0.0,897.3822
10,0.1668,269,414,0.0,1039.25,298,440,0.0,897.3822
11,0.1835,269,414,0.0,1039.25,298,440,0.0,897.3822
12,0.2002,269,414,0.0,1039.25,298,440,0.0,897.3822
13,0.2169,269,414,0.0,1039.25,299,440,2.6178,897.3822
14,0.2336,269,414,0.0,1039.25,299,440,2.6178,897.3822
15,0.2503,269,414,0.0,1039.25,299,440,2.6178,897.3822
16,0.2669,269,414,0.0,1039.25,299,440,2.6178,897.3822
17,0.2836,269,414,0.0,1039.25,299,443,2.6178,889.5288
18,0.3003,269,414,0.0,1039.25,299,440,2.6178,897.3822
19,0.317,269,414,0.0,1039.25,299,440,2.6178,897.3822
20,0.3337,269,414,0.0,1039.25,299,440,2.6178,897.3822
21,0.3503,269,414,0.0,1039.25,298,439,0.0,900.0
22,0.367,269,414,0.0,1039.25,298,439,0.0,900.0
23,0.3837,269,414,0.0,1039.25,298,439,0.0,900.0
24,0.4004,269,414,0.0,1039.25,299,439,2.6178,900.0
25,0.4171,269,414,0.0,1039.25,298,439,0.0,900.0
26,0.4338,269,414,0.0,1039.25,298,439,0.0,900.0
27,0.4505,269,414,0.0,1039.25,298,439,0.0,900.0
28,0.4671,269,414,0.0,1039.25,298,439,0.0,900.0
29,0.4838,268,414,-2.6178,1039.25,298,439,0.0,900.0
30,0.5005,269,414,0.0,1039.25,298,439,0.0,900.0
31,0.5172,269,414,0.0,1039.25,298,439,0.0,900.0
32,0.5339,269,414,0.0,1039.25,298,439,0.0,900.0
33,0.5505,269,414,0.0,1039.25,299,439,2.6178,900.0
34,0.5672,269,414,0.0,1039.25,298,439,0.0,900.0
35,0.5839,269,414,0.0,1039.25,298,439,0.0,900.0
36,0.6006,269,414,0.0,1039.25,298,439,0.0,900.0
37,0.6173,269,414,0.0,1039.25,298,439,0.0,900.0
38,0.634,269,414,0.0,1039.25,298,439,0.0,900.0
39,0.6507,268,414,-2.6178,1039.25,298,440,0.0,897.3822
40,0.6673,268,414,-2.6178,1039.25,298,439,0.0,900.0
41,0.684,268,414,-2.6178,1039.25,298,439,0.0,900.0
42,0.7007,268,414,-2.6178,1039.25,298,439,0.0,900.0
43,0.7174,268,414,-2.6178,1039.25,298,439,0.0,900.0
44,0.7341,268,414,-2.6178,1039.25,298,439,0.0,900.0
45,0.7508,268,414,-2.6178,1039.25,298,439,0.0,900.0
46,0.7674,268,414,-2.6178,1039.25,298,439,0.0,900.0
47,0.7841,268,414,-2.6178,1039.25,297,439,-2.6178,900.0
48,0.8008,268,414,-2.6178,1039.25,297,439,-2.6178,900.0
49,0.8175,268,414,-2.6178,1039.25,297,439,-2.6178,900.0
