height,ball,v_max_1,v_max_2,v_max_3,v_max_4,v_max_5,mean_v_max,uncertainty
50,white_ball,709.6446,627.021,705.3982,705.3952,709.6446,691.42072,41.3118
50,red_ball,709.6446,862.1527,862.1527,783.7754,788.494,801.24388,76.25405
60,white_ball,783.7725,862.1497,788.494,783.7725,862.1497,816.06768,39.1886
60,red_ball,940.5269,1097.2814,946.1928,1332.4132,1175.6587,1098.4146,195.94315
70,white_ball,1018.9042,1018.9072,783.7725,940.5269,940.5299,940.52814,117.56735
70,red_ball,1489.1677,1175.6617,1018.9042,1097.2814,1097.2844,1175.65988,235.13175
80,white_ball,1018.9042,1097.2814,862.1497,862.1497,1018.9042,971.87784,117.56585
80,red_ball,1254.0359,1254.0359,1175.6587,1410.7904,1175.6587,1254.03592,117.56585
90,white_ball,1254.0389,1097.2814,1018.9042,946.1928,1254.0359,1114.09064,153.92305
90,red_ball,1410.7904,1254.0359,1097.2814,1419.2892,1410.7904,1318.43746,161.0039
100,white_ball,1097.2814,940.5269,1332.4132,862.1497,1018.9042,1050.25508,235.13175
100,red_ball,1332.4132,1881.0539,1567.5449,1332.4132,1489.1677,1520.51858,274.32035
110,white_ball,1025.0422,1340.4398,1175.6587,940.5269,1097.2814,1115.7898,199.95645
110,red_ball,1576.988,1734.6867,1881.0539,2037.8084,1489.1677,1743.94094,274.32035
120,white_ball,1254.0359,1175.6587,1489.1677,1175.6587,1103.8946,1239.68312,192.63655
120,red_ball,1802.6796,1724.3024,1724.2994,1724.3024,2365.4849,1868.21374,320.59275
130,white_ball,1498.1386,1724.2994,1332.4132,1175.6587,1018.9042,1349.88282,352.6976
130,red_ball,1892.3855,1802.6766,1802.6766,1881.0539,2116.1886,1898.99624,156.756
140,white_ball,1018.9042,1175.6587,1097.2814,1097.2814,1018.9042,1081.60598,78.37725
140,red_ball,2194.5629,2272.9431,1959.4311,1959.4311,2194.5629,2116.18622,156.756
